run_id,benchmark,replicate,seed,best,len_final,cpu_s
fb74770d-b370-4ee7-acef-ab42d3634f13,Koza,0,146070755,0.0,15,151.2318
e283479a-8b55-420b-815d-b71bfaefc76b,Koza,1,1653709166,0.000863,261,94.3616
064b98d4-d595-4c3e-a2ce-f462b1412bd6,Koza,2,785739680,0.001381,343,151.7558
035986f5-9a62-4959-8c4b-235a1021c284,Koza,3,500529518,0.002951,335,146.4685
57d6cff1-7001-419d-b6b9-e8a988967fcb,Koza,4,1978169815,0.000201,15,70.5469
ad7d3e06-beae-4bd5-8489-4751bf2eed8f,Koza,5,1438362768,0.012063,599,332.5376
944abd1f-f3f3-4ea5-84a0-5ea7c4e037e0,Koza,6,1083762596,0.0,15,129.5916
82967104-8645-4ae5-94c9-413cf98363a2,Koza,7,1765729476,0.0,17,82.5396
7ea5c771-3284-4b4e-8469-3bf888736be1,Koza,8,1501968571,8e-06,619,225.1236
7d4453c5-dc7a-4aab-85a2-0c9769357d7e,Koza,9,456502158,0.0,13,63.436
d71186de-3db0-4809-94fe-7bae9f0d754d,Koza,10,2135664091,0.0,17,111.7423
e9fe9714-d85d-41e4-9548-d1729b99f432,Koza,11,305980997,0.0,19,131.9407
90d171ee-9d5d-4227-87e1-2e5925acff5d,Koza,12,1771785835,0.021558,271,100.7266
90c726e7-b925-443a-a999-57ad34379f53,Koza,13,1401710768,0.0,13,106.9001
4d4c5e72-3ecb-4432-a55a-a6a7ba265f78,Koza,14,2001378148,0.0,31,104.043
7d5517bc-79d0-416d-916e-15ced4dc5afe,Koza,15,1517293219,0.0,51,162.1173
f4cf8ebe-8d00-4901-8eb7-ae11bae47c42,Koza,16,542489514,8.8e-05,443,165.6901
7dce1e29-e2e6-49dd-bae6-47a12f6f022b,Koza,17,1196511992,0.004069,291,116.7057
787c5606-2893-4683-87a5-3ee877b64ac8,Koza,18,1917770291,0.0,25,184.4403
8d952957-d68c-40bd-a9ed-c6346f3c5da3,Koza,19,1716206527,0.0,19,110.2947
97434e98-ddb6-4286-ae60-573cb8ee8207,Koza,20,1546691978,0.0,19,121.84
6befa559-c216-42ef-912e-8b9d25096dd8,Koza,21,1042958693,0.0,35,135.5821
e7b5ed58-5817-45dd-8348-f38285a407b5,Koza,22,1044340158,0.0,37,145.0743
a910dc57-5467-4722-a7cd-49e0d06203e5,Koza,23,1226517222,0.000267,379,182.6331
ba9c5dc0-8da1-4625-9e98-f4741168ff2e,Koza,24,250140427,0.0,29,150.9504
d1cfa5b8-5db6-452d-8068-e3a93b8ca2e6,Koza,25,1678967448,0.0,13,144.5248
d5535a47-061a-4424-9f22-b2bcd9750a26,Koza,26,432257037,0.0,15,136.9589
dca0c42c-e680-45d2-905e-b237c098c5e7,Koza,27,235983379,0.0,249,143.6005
dc9e1298-4cec-40c3-96da-073247daae26,Koza,28,1396015898,0.0,153,104.5046
bc9199af-5193-4ba8-ae65-8710d0b75df8,Koza,29,2038850989,0.00221,399,219.7009
e283e2d8-e6ea-4560-a7c4-0feceec184c0,Parity,0,881573504,4.0,355,244.1552
0428e39c-a537-40ab-9945-7ae70539fb19,Parity,1,1397964834,15.0,570,282.9811
35290b40-1373-4b0c-89c0-a5427abbfb96,Parity,2,507968768,21.0,268,334.7646
fbdf51f7-5034-4356-a191-74b5c41e303d,Parity,3,2078987831,4.0,190,244.8473
f5f77a8f-4078-4de4-a31c-32aa58ec431c,Parity,4,1555110070,11.0,476,266.2454
e8f99ce7-c044-4a29-abd3-7bde83b54366,Parity,5,1779566970,0.0,169,237.9083
add8688c-5651-426b-83ad-d5e7fb8501d6,Parity,6,1191831047,16.0,16,225.9322
7158d09d-c8db-4a49-839a-0e292d282a83,Parity,7,1461502290,0.0,13,222.094
afe1b6f8-18c8-4e33-9309-d9fbe82ebdb2,Parity,8,538492464,12.0,294,298.5337
43d19a19-a423-4a26-8aa6-89742aed26bc,Parity,9,1149162787,16.0,14,437.9379
7412e86a-50d2-4b65-b407-7d70f04c68e2,Parity,10,1639488611,20.0,160,193.516
ee8914f8-6c02-4ac0-8520-069d2dab8442,Parity,11,1937108506,1.0,850,506.9429
440da7a0-70f6-4b8e-8816-7caf590160ad,Parity,12,185480660,8.0,545,186.9564
63af859c-f951-420c-946c-86c0ba07f09f,Parity,13,371083926,14.0,240,201.9231
36c778a1-3887-4e21-b9b9-3638c85b6fc2,Parity,14,381875155,16.0,410,251.1416
c355f0ca-0b05-4543-ae43-2f9a06730d4b,Parity,15,746678052,16.0,114,232.0543
4bbba79f-e7e9-4cc5-98b6-d1e391981797,Parity,16,2131780099,0.0,302,179.5514
f1d1948f-424d-422b-bb5c-65c28696b89a,Parity,17,1731126145,0.0,39,172.3093
2420ae4f-8194-4774-815d-15aab3db10b2,Parity,18,1621543023,12.0,274,131.0325
3d2abdfb-a4ae-4758-9dcf-a5d7559988e7,Parity,19,139407323,20.0,155,255.5564
cb1cb6aa-ff82-42e3-b229-258995825322,Parity,20,566324387,0.0,116,177.1637
a5b75219-e87f-4359-95a5-07ae6d26363f,Parity,21,1977964523,0.0,219,137.2182
5c60a99a-e0dd-4120-adad-6ee8266b85ab,Parity,22,1756159257,15.0,567,188.7452
084cf7a5-3d14-4aa7-a110-377f9ec607a0,Parity,23,624661912,20.0,97,221.6833
e7bfb938-6726-4746-ace6-7b1de29e297f,Parity,24,1039188891,0.0,48,104.0207
b6b0625b-42b4-4e04-8332-fd8e319e4862,Parity,25,1941595615,16.0,217,191.2178
87bb4e42-d72f-4317-b2d0-ec33260824a3,Parity,26,698218255,8.0,183,149.4469
bc4a9040-c7c5-4f74-adcd-f94d23d95195,Parity,27,1791689295,0.0,212,146.7504
75b5eade-b02b-41f1-beb8-eb8766862541,Parity,28,2013413374,22.0,224,253.0721
29959dcc-9bb1-491f-b107-075d62d8c2e7,Parity,29,27474985,0.0,141,149.6917
fa4abbf6-69b1-4918-8a58-9adcc029c4b7,SantaFe,0,719417523,-2.7,3,33.7909
6820803a-bfa7-48b3-9338-bb7ef3d9d517,SantaFe,1,1472434498,-2.7,3,33.6561
1dd4dec9-c38f-4c9e-92c3-163ffa385b56,SantaFe,2,1563040812,-25.7,23,76.5015
2afb0cfc-95ff-474a-917f-468414bd583c,SantaFe,3,2134397503,-2.7,3,27.2802
3ebdca2a-84fa-4b32-8ead-ca066dc62c89,SantaFe,4,413376985,-2.7,3,27.2258
6dc8f9fe-a04d-465b-a5cc-e90bda250f1e,SantaFe,5,1586097773,-12.3,17,54.6412
dab133d2-a44a-41ab-8e3c-bdf7f58c2439,SantaFe,6,1754168043,-2.7,3,29.5404
c69fe60e-994d-4578-8b13-ba07579e8eb3,SantaFe,7,660331381,-2.7,3,30.5723
bf88c46a-0f75-43c0-9bde-68a4b017f813,SantaFe,8,1140024818,-25.4,16,99.929
63a3cae1-3de2-4a8e-85fa-021283d98ae6,SantaFe,9,377361798,-2.7,3,29.1551
5df8b21c-e5a0-4b71-bd3d-8838989af9fd,SantaFe,10,1672496550,-2.7,3,29.5423
01ce1f30-4054-4752-b60a-bf479b2eedf0,SantaFe,11,1087442292,-2.7,3,29.3218
b032e912-0f64-4414-8ea0-de4f608c9ea5,SantaFe,12,621710125,-2.7,3,27.5547
c14a5154-8d0e-47a2-a011-2f4774219d38,SantaFe,13,784862939,-44.1,119,275.3916
3f8f84c4-c993-4ff0-a22d-180319217fc5,SantaFe,14,312870323,-2.7,3,30.9411
e831ee91-3d0d-45db-a2f9-8700cf7a4159,SantaFe,15,1042172577,-2.7,3,28.5582
27b0659f-9813-4b7a-8bb3-d6cbdcbb7a71,SantaFe,16,1780671606,-2.7,3,31.0153
ea79980d-545a-4fb7-8ad2-2fede41ea689,SantaFe,17,306034082,-2.7,3,29.7802
e494b4a5-8c50-432c-9203-e87724a09a59,SantaFe,18,1553869455,-15.0,20,29.0831
a074d147-9b8c-4103-810a-9523ce6b037f,SantaFe,19,2095297065,-3.0,10,30.4248
36e73fab-c1e6-4309-b413-1257e1a7fa62,SantaFe,20,892780062,-2.7,3,28.1304
23249e0b-2905-4b07-bd46-e291789ad958,SantaFe,21,43880830,-18.3,17,29.8563
5cf755cf-fe78-4bb6-8e92-85a1ad382aa9,SantaFe,22,456424250,-2.7,3,31.1893
ad868452-750b-4fcd-8352-c0c5e65b7ee4,SantaFe,23,1374010678,-4.6,14,29.1765
783c6437-e85e-4915-9cb0-ed89621ed8a5,SantaFe,24,1759138713,-30.3,37,160.5331
15647d3c-29b5-41d9-9ada-3057533e2a9e,SantaFe,25,1481372490,-2.8,12,26.5369
b7369582-1f58-417f-b0d4-c6e7fdaf9e10,SantaFe,26,2043332862,-2.7,3,27.9623
da0d312b-17b7-41da-8770-330a7562eee4,SantaFe,27,902282570,-2.7,3,27.14
0eb3036c-169b-4db6-89b5-44575224215c,SantaFe,28,1581192979,-24.1,29,32.6475
640665ac-2a05-43e1-8dd7-8cc09f989127,SantaFe,29,484269054,-2.7,3,30.6207
